Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Open Access,Source,EID
Wibowo F.A.; Satria A.; Gaol S.L.; Indrawan D.,"Wibowo, Febrianto Arif (59233353100); Satria, Arif (58494786800); Gaol, Sahala Lumban (59233182000); Indrawan, Dikky (57202032071)",59233353100; 58494786800; 59233182000; 57202032071,Foresight for SOE Companies in Indonesia’s Construction Industry: Recognizing Future Opportunities,2024,Sustainability (Switzerland),16,23,10384,,,,1,10.3390/su162310384,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211808483&doi=10.3390%2fsu162310384&partnerID=40&md5=d1397755398993c8eb91e42ce628ff21,"As part of the “Indonesia Emas 2045” framework, state-owned enterprises (SOEs) in the construction industry are expected to dominate government infrastructure projects. This research conducts an industrial foresight analysis of Indonesia’s SOE construction industry to identify future trends and opportunities. The study employs a three-level analysis: macro (using the Political, Economic, Social, Technology, Legal, Environmental/PESTLE framework), meso (applying Porter’s Five Forces), and micro (focusing on organizational scope). Data were collected from seven industry experts from both SOEs and the private sector, supplemented by secondary sources. The qualitative findings were gathered using the Delphi method, while expert voting provided the quantitative assessment. The results highlight that focusing on macro-level targets like net zero emissions (NZE) and sustainable development goals (SDGs) is crucial in implementing environmental, social, and governance (ESG) practices. Adoption of advanced technologies such as Construction 4.0 emerges as a top priority, with digital innovations such as predictive analytics, digital control towers, light detection and ranging (LiDAR), and building information modeling (BIM) enhancing efficiency and risk management. Achieving sustainability and technological advancement requires regulatory certainty, serving as the third pillar at the macro level. At the micro level, strengthening the SOE construction industry’s core competencies, resources, and capabilities is essential to accelerate future trends. Competitiveness at the meso level is not a significant concern, as the industry operates with moderate competition. © 2024 by the authors.",construction industry; foresight; Indonesia; micro–meso–macro analysis; state-owned enterprise (SOEs),Indonesia; building; competitiveness; construction industry; infrastructure planning; lidar; risk assessment; state owned enterprise; Sustainable Development Goal,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85211808483
Hulme P.E.,"Hulme, Philip E. (7006913433)",7006913433,Trouble on the horizon: anticipating biological invasions through futures thinking,2025,Biological Reviews,100,1,,461,480,19,5,10.1111/brv.13149,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204491652&doi=10.1111%2fbrv.13149&partnerID=40&md5=0a337d849aa44cdb67709bb571371012,"Anticipating future biosecurity threats to prevent their occurrence is the most cost-effective strategy to manage invasive alien species. Yet, biological invasions are complex, highly uncertain processes. High uncertainty drives decision-making away from strategic preventative measures and towards operational outcomes aimed at post-invasion management. The limited success of preventative measures in curbing biological invasions reflects this short-term mindset and decision-makers should instead apply strategic foresight to imagine futures where biosecurity threats are minimised. Here, four major futures thinking tools (environmental scanning, driver-mapping, horizon scanning, and scenario planning) that describe probable, possible, plausible and preferable futures are assessed in terms of their potential to support both research and policy addressing biological invasions. Environmental scanning involves surveying existing data sources to detect signals of emerging alien species through knowledge of changes in either the likelihood or consequences of biological invasions. Several approaches are widely used for biosecurity including automated scans of digital media, consensus-based expert scoring, and prediction markets. Automated systems can be poor at detecting weak signals because of the large volume of ‘noise’ they generate while expert scoring relies on prior knowledge and so fails to identify unknown unknowns which is also true of prediction markets that work well for quite specific known risks. Driver-mapping uses expert consensus to identify the political, economic, societal, technological, legislative, and environmental forces shaping the future and is a critical component of strategic foresight that has rarely been applied to biological invasions. Considerable potential exists to extend this approach to develop system maps to identify where biosecurity interventions may be most effective and to explore driver complexes to determine megatrends shaping the future of biological invasions. Horizon scanning is a systematic outlook of potential threats and future developments to detect weak signals of emerging issues that exist at the margins of current thinking. Applications have been strongly focused on emerging issues related to research and technological challenges relevant to biosecurity and invasion science. However, most of these emerging issues are already well known in current-day research. Because horizon scanning is based on expert consensus, it needs to embrace a diversity of cultural, gender, and disciplinary diversity more adequately to ensure participants think intuitively and outside of their own subject boundaries. Scenario planning constructs storylines that describe alternative ways the political, economic, social, technological, legislative, and environmental situation might develop in the future. Biological invasion scenario planning has favoured structured approaches such as standardised archetypes and uncertainty matrices, but scope exists to apply more intuitive thinking by using incasting, backcasting, or causal layered analysis. Futures thinking in biological invasions has not engaged with decision-makers or other stakeholders adequately and thus outcomes have been light on policy and management priorities. To date, strategic foresight addressing biological invasions has applied each approach in isolation. Yet, an integrated approach to futures thinking that involves a diverse set of stakeholders in exploring the probable, possible, plausible, and preferable futures relating to biological invasions is crucial to the delivery of strategic biosecurity foresight at both national and global scales. © 2024 The Author(s). Biological Reviews published by John Wiley & Sons Ltd on behalf of Cambridge Philosophical Society.",anticipatory governance; climate change; crowdsourcing; expert elicitation; forecasting; interdisciplinarity; One Biosecurity; prediction; risk assessment,,,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85204491652
Parkkinen M.; Vikström S.,"Parkkinen, Marjukka (57195807891); Vikström, Suvi (57195585998)",57195807891; 57195585998,Alternative policy narratives of the future of climate change: Analyzing Finland's energy and climate strategy and news reports,2024,Review of Policy Research,41,4,,635,653,18,1,10.1111/ropr.12602,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184862301&doi=10.1111%2fropr.12602&partnerID=40&md5=62e5df72ba7f9e14d5d033637b10c54a,"In this article, we examine the ways in which the futures of climate change and the climate change policy process are constructed as narratives—both explicitly and implicitly—in two different yet interconnected contexts that shape public climate discourse and debate: foresight-based political decision-making and journalism. The featured case is the National Energy and Climate Strategy of Finland for 2030. We employ and expand the Narrative Policy Framework to better understand the co-existent, implicit narratives of the future in the contexts of policy and media. We construct two co-existing yet contradictory underlying narratives of the future of climate change and climate policy. Our approach reveals that the prevailing master narrative of a desirable future is challenged by a co-existing counter narrative where policies in the energy and climate strategy prioritize shorter-term policy interests over climate change. Building on these findings, we argue that, in climate policy communication, communicators convey futures through narratives—both explicitly, as descriptions of what is perceived, hoped, and anticipated to happen, and implicitly, as the sum of the parts included and excluded. © 2024 The Authors. Review of Policy Research published by Wiley Periodicals LLC on behalf of Policy Studies Organization.",climate policy; future; media; narrative policy framework,Finland; building; climate modeling; conceptual framework; environmental policy; future prospect; strategic approach,"Research Council of Finland, (325207, 325208)",Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85184862301
Panizzon M.; Janissek-Muniz R.,"Panizzon, Mateus (56428962700); Janissek-Muniz, Raquel (55508895300)",56428962700; 55508895300,"Theoretical dimensions for integrating research on anticipatory governance, scientific foresight and sustainable S&T public policy design",2025,Technology in Society,80,,102758,,,,1,10.1016/j.techsoc.2024.102758,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209688953&doi=10.1016%2fj.techsoc.2024.102758&partnerID=40&md5=a808e75ec86498eb8a4183ece0cfe7a5,"The future of Science and Technology (S&T) is a continuous and strategic priority for governments, universities, and organizations, driving societal benefits through innovation, sustainability, and development. However, there is a gap—and a critical opportunity—for research on architectures supporting Anticipatory Governance (AG) that integrates Scientific Foresight (ScF) and the design of sustainable S&T policies, especially at federal and state levels in emerging countries. In this context, this paper aims to enhance understanding of the theoretical dimensions essential for integrating AG, ScF, and sustainable S&T policy design, proposing an emergent systemic framework. Adopting a Systematic Literature Review (SLR), the analysis identifies seven theoretical dimensions that unify these three themes, opening new possibilities for integrated research. This method also supported the development of a systemic framework for Anticipatory Governance, Scientific Foresight, and Sustainable S&T Policy Design, setting up foundational components for further testing, development, implementation, and providing a research agenda for Anticipatory Governance Systems. Implications for systemic and institutional innovation in public management are discussed, indicating that evolving these frameworks could strengthen complex decision-making around public policies and investments in strategic S&T areas involving multiple stakeholders in Foresight and Policy Design, particularly those addressing pressing societal challenges. © 2024 Elsevier Ltd",Anticipatory governance; Futures; Policy design; Science & Technology; Scientific foresight; Sustainability,Anticipatory governance; Future; Government organizations; Integrating research; Policy design; Science and Technology; Science and technology policy; Science technologies; Scientific foresight; Systemic frameworks; decision making; design; governance approach; institutional framework; literature review; policy approach; public service; research work; science and technology; sustainability; theoretical study; Sustainable development goals,"Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq",Article,Final,,Scopus,2-s2.0-85209688953
Halilova J.G.; Fynes-Clinton S.; Addis D.R.; Rosenbaum R.S.,"Halilova, Julia G (57204733910); Fynes-Clinton, Samuel (57203805726); Addis, Donna Rose (6602575389); Rosenbaum, R. Shayna (7101994955)",57204733910; 57203805726; 6602575389; 7101994955,Predictors of Change in Vaccination Decisions among the Vaccine Hesitant: Examining the Roles of Age and Intolerance of Uncertainty,2024,Annals of Behavioral Medicine,58,11,,768,777,9,1,10.1093/abm/kaae053,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206959212&doi=10.1093%2fabm%2fkaae053&partnerID=40&md5=5768802ab892ccab8f920cd4cfb6bcb9,"Background: Vaccine hesitancy and resistance pose significant threats to controlling pandemics and preventing infectious diseases. In a group of individuals unvaccinated against the disease caused by the SARS-CoV-2 coronavirus (COVID-19), we investigated how age, intolerance of uncertainty (IU), and their interaction affected the likelihood of having changed one's vaccination decision a year later. We hypothesized that higher IU would increase the likelihood of becoming vaccinated, particularly among individuals of younger age. We predicted that this effect would remain significant, even after controlling for delay discounting and trust in science. Purpose: The goal of this research was to understand the factors influencing changes in vaccination decisions among the vaccine hesitant. Methods: In a larger longitudinal study, ~7,500 participants from Prolific.co completed demographic and vaccination status questions, a delay discounting task, and the Intolerance of Uncertainty Scale in June-August 2021. Approximately 3,200 participants completed a follow-up survey in July-August 2022, answering questions about vaccination status, reasons for vaccination decision, and trust in science. We analyzed data from 251 participants who initially had no intention of getting vaccinated and completed the follow-up survey; 38% reported becoming vaccinated in the intervening year. Results: Data were analyzed using multilevel logistic regression. Over and above other factors related to vaccination decisions (delay discounting, trust in science), younger participants were more likely to change their decision and become vaccinated a year later, especially if they had higher IU, confirming our predictions. Primary reasons for becoming vaccinated were necessity and seeking protection against the virus. Conclusions: These findings highlight the complex interplay between age, uncertainty, and vaccination decisions, and inform health policies by suggesting the need for tailoring interventions to specific concerns in different age groups.  © 2024 The Author(s).",COVID-19; Intolerance of uncertainty; Public health measures; Vaccination; Vaccine hesitancy,Adolescent; Adult; Age Factors; Aged; COVID-19; COVID-19 Vaccines; Decision Making; Female; Humans; Longitudinal Studies; Male; Middle Aged; SARS-CoV-2; Trust; Uncertainty; Vaccination; Vaccination Hesitancy; Young Adult; SARS-CoV-2 vaccine; adolescent; adult; age; aged; coronavirus disease 2019; decision making; female; human; longitudinal study; male; middle aged; prevention and control; psychology; Severe acute respiratory syndrome coronavirus 2; trust; uncertainty; vaccination; vaccine hesitancy; young adult,,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85206959212
Savari M.; Khaleghi B.; Sheheytavi A.,"Savari, Moslem (57204635952); Khaleghi, Bagher (57337065500); Sheheytavi, Abbas (58164172900)",57204635952; 57337065500; 58164172900,Iranian farmers' response to the drought crisis: How can the consequences of drought be reduced?,2024,International Journal of Disaster Risk Reduction,114,,104910,,,,8,10.1016/j.ijdrr.2024.104910,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206873230&doi=10.1016%2fj.ijdrr.2024.104910&partnerID=40&md5=ca97477adec580ae5f14c380f6b6cd8f,"Climate change (CC) is an undeniable global phenomenon, impacting various regions, including Iran. Key components of CC, including the increase in greenhouse gases, rising temperatures, and fluctuations in precipitation patterns, are expected to significantly reduce agricultural crop yields in the near future. In response, identifying effective adaptation strategies is critical for mitigating these adverse effects. This study investigates the role of environmental values, risk perception, and psychological distance in shaping Iranian farmers’ adaptation strategies to CC. A sample of 390 farmers from Shushtar County in southwestern Iran was selected through a multi-stage stratified sampling method. Using structural equation modeling (SEM), the analysis revealed complex interrelationships between environmental values (biospheric, altruistic, and egoistic), beliefs, risk perception, psychological distance, and farmers' adaptation responses to CC. Furthermore, the results indicated that the study variables explain 67.6 % of the variance in farmers' adaptive behaviors, with belief in CC emerging as the most influential factor. These findings not only enrich the current body of literature but also provide actionable insights for policymakers to foster adaptive strategies among farmers. © 2024 Elsevier Ltd",Adaptation behaviors; Climate changes; Farmers; Psychological distance; Risk perception,,"Natural Resources University of Khuzestan, (1402.37)",Article,Final,,Scopus,2-s2.0-85206873230
Desiderio E.; García-Herrero L.; Hall D.; Pertot I.; Segrè A.; Vittuari M.,"Desiderio, Edoardo (58502221100); García-Herrero, Laura (57209330181); Hall, Damon (8280152400); Pertot, Ilaria (16234158500); Segrè, Andrea (56651151800); Vittuari, Matteo (6504199555)",58502221100; 57209330181; 8280152400; 16234158500; 56651151800; 6504199555,From youth engagement to policy insights: Identifying and testing food systems’ sustainability indicators,2024,Environmental Science and Policy,155,,103718,,,,1,10.1016/j.envsci.2024.103718,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187949293&doi=10.1016%2fj.envsci.2024.103718&partnerID=40&md5=da05fa0c8ce91fac9377c0c6226386f3,"Understanding how food systems could change and evolve in the future is essential for scientists and decision-makers across sectors to make informed policy decisions. For effective and salient policy, engaging citizens, especially young generations, who will experience those policies firsthand is crucial. This work aims to define and test new food systems sustainability indicators through youth engagement for policy insights to provide policymakers with literature incorporating citizens' needs. Our approach is based on Community Dissonance Theory and the application of a literature review, focus groups and survey. Four future food systems scenarios were obtained through the literature, serving as a baseline for discussion for Generation Z focus groups, whose results were analyzed through NVivo. In this work 31 food system indicators were identified, 20 on social aspects, 9 economic and one environmental. Social indicators proposed were related to capacity development, education, vulnerable groups, income inequality, social awareness, and increased stakeholders' engagement measures. Economic ones are on stakeholders' bargaining power and purchasing power, while environmental ones are on climate change. The combination of these scenarios contributed to identifying top priorities in terms of social, economic, and environmental indicators, which in terms of policy suggestions, could: balance economic, social, and environmental objectives within food systems; address potential impacts of policies beyond specific scenarios since they are inferred from a multitude of scenarios; reconcile short- and long-term priorities as areas of interventions within food supply chains; and engage young stakeholders to inform coherent policymaking. © 2024 Elsevier Ltd",Citizen engagement; Food security; Future foresight; Scenario analysis; Social learning,bargaining; climate change; decision making; food security; food supply; local participation; sustainability; adult; Article; awareness; catering service; climate change; environmental indicator; female; food; government; human; income; income inequality; information processing; international cooperation; male; migration; policy; population growth; practice guideline; purchasing power; qualitative analysis; social media; social network; sustainable development,,Article,Final,,Scopus,2-s2.0-85187949293
Shen X.; Rumack A.; Wilder B.; Tibshirani R.J.,"Shen, Xueda (57222294520); Rumack, Aaron (57198442630); Wilder, Bryan (57191919064); Tibshirani, Ryan J. (57219633823)",57222294520; 57198442630; 57191919064; 57219633823,"Nowcasting reported covid-19 hospitalizations using de-identified, aggregated medical insurance claims data",2025,PLoS Computational Biology,21,2,e1012717,,,,0,10.1371/journal.pcbi.1012717,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218157818&doi=10.1371%2fjournal.pcbi.1012717&partnerID=40&md5=5de4eaabf1ef1b6201c3f4169001f701,"We propose, implement, and evaluate a method for nowcasting the daily number of new COVID-19 hospitalizations, at the level of individual US states, based on de-identified, aggregated medical insurance claims data. Our analysis proceeds under a hypothetical scenario in which, during the Delta wave, states only report data on the first day of each month, and on this day, report COVID-19 hospitalization counts for each day in the previous month. In this hypothetical scenario (just as in reality), medical insurance claims data continues to be available daily. At the beginning of each month, we train a regression model, using all data available thus far, to predict hospitalization counts from medical insurance claims. We then use this model to nowcast the (unseen) values of COVID-19 hospitalization counts from medical insurance claims, at each day in the following month. Our analysis uses properly-versioned data, which would have been available in real-time at the time predictions are produced (instead of using data that would have only been available in hindsight). In spite of the difficulties inherent to real-time estimation (e.g., latency and backfill) and the complex dynamics behind COVID-19 hospitalizations themselves, we find altogether that medical insurance claims can be an accurate predictor of hospitalization reports, with mean absolute errors typically around 0.4 hospitalizations per 100,000 people, i.e., proportion of variance explained around 75%. Perhaps more importantly, we find that nowcasts made using medical insurance claims are able to qualitatively capture the dynamics (upswings and downswings) of hospitalization waves, which are key features that inform public health decision-making. © 2025 Shen et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,"Computational Biology; COVID-19; Hospitalization; Humans; Insurance Claim Review; Insurance, Health; SARS-CoV-2; United States; Health insurance; Open access; Regression analysis; Delta waves; Insurance claims; Medical insurance; Nowcast; Nowcasting; Real- time; Regression modelling; State based; Time predictions; Wave state; accuracy; algorithm; analysis; Article; backcast error analysis; coronavirus disease 2019; data analysis; health care; health insurance; hospital admission; hospitalization; hospitalization count; hospitalization rate; human; mathematical analysis; mean absolute error; nowcasting; prediction; predictive value; SARS-CoV-2 Delta; statistical analysis; United States; aged; article; delta rhythm; major clinical study; middle aged; open access publishing; time perception; young adult; COVID-19","Centers for Disease Control and Prevention, CDC, (75D30123C15907); Centers for Disease Control and Prevention, CDC",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85218157818
Lal S.; Nguyen T.X.T.; Bawalle A.A.; Khan M.S.R.; Kadoya Y.,"Lal, Sumeet (57562530900); Nguyen, Trinh Xuan Thi (57561569900); Bawalle, Aliyu Ali (59347495800); Khan, Mostafa Saidur Rahim (57188653651); Kadoya, Yoshihiko (55843157400)",57562530900; 57561569900; 59347495800; 57188653651; 55843157400,Unraveling Investor Behavior: The Role of Hyperbolic Discounting in Panic Selling Behavior on the Global COVID-19 Financial Crisis,2024,Behavioral Sciences,14,9,795,,,,3,10.3390/bs14090795,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205246350&doi=10.3390%2fbs14090795&partnerID=40&md5=b2f33cd029a47b3b5fb6905dc17c9742,"In financial markets, irrational behaviors such as hyperbolic discounting and panic selling are prevalent. However, their widespread empirical associations remain unexplored. Numerous behavioral theories discuss how cognitive biases exacerbate panic selling through the lens of immediate loss aversion, a phenomenon in which individuals exhibit impulsive decision-making tendencies due to an intense fear of financial loss during market upheaval. Despite the theoretical elucidation, empirical investigations of these dynamics are lacking. Using a robust dataset comprising 121,293 active investors sourced from a collaborative effort between Hiroshima University and Rakuten Securities Inc., this study used mean comparison tests and probit regression to analyze hyperbolic discounting’s role in panic selling behavior on the global COVID-19 financial crisis. The findings reveal that hyperbolic discounting plays a central role in triggering investors’ impulsive panic selling behavior, which is driven primarily by fear of potential losses. Other factors that influence panic selling behavior include age, male gender, low education level, financial literacy, household income, household assets, risk aversion, and overconfidence in financial knowledge. Our study explicates the need to address cognitive biases in financial decision making during market crises through strategies such as targeted financial education, regulatory interventions against market manipulation, and the provision of professional advice to investors. © 2024 by the authors.",COVID-19; hyperbolic discounting; Japan; panic selling,,,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85205246350
Navon–Eyal M.; Taubman - Ben-Ari O.,"Navon–Eyal, Meital (58311266700); Taubman - Ben-Ari, Orit (56009005800)",58311266700; 56009005800,Psychological Well-being during Pregnancy: The Contribution of Stress Factors and Maternal-Fetal Bonding,2025,Journal of Reproductive and Infant Psychology,43,1,,47,61,14,4,10.1080/02646838.2023.2222143,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161724019&doi=10.1080%2f02646838.2023.2222143&partnerID=40&md5=5f408394d2dfc1c742aab814a89538ba,"Background: Pregnancy and anticipation of the birth of the first child is considered a happy and exciting time. However, the stress involved in pregnancy has been found to put women at greater risk of impaired psychological well-being, or higher distress. Confusion in the theoretical literature between the terms ‘stress’ and ‘distress’ makes it difficult to understand the underlying mechanism that may enhance or reduce psychological well-being. We suggest that maintaining this theoretical distinction and examining stress from different sources, may allow us to gain new knowledge regarding the psychological well-being of pregnant women. Objective: Drawing on the Calming Cycle Theory, to examine a moderated mediation model for the explanation of the dynamic between two stress factors (COVID−19-related anxiety and pregnancy stress) that may pose a risk to psychological well-being, as well as the protective role of maternal-fetal bonding. Methods: The sample consisted of 1,378 pregnant women who were expecting their first child, recruited through social media and completed self-report questionnaires. Results: The higher the COVID−19-related anxiety, the higher the pregnancy stress, which, in turn, was associated with lower psychological well-being. However, this effect was weaker among women who reported greater maternal-fetal bonding. Conclusion: The study expands knowledge of the dynamic between stress factors and psychological well-being during pregnancy, and sheds light on the unexplored role of maternal-fetal bonding as a protective factor against stress. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",COVID-19-related anxiety; Maternal-fetal bonding; Pregnancy; Pregnancy stress; Psychological well-being,"Adult; Anxiety; COVID-19; Female; Humans; Maternal-Fetal Relations; Mental Health; Object Attachment; Pregnancy; Pregnant Women; Psychological Well-Being; SARS-CoV-2; Stress, Psychological; Surveys and Questionnaires; adult; anxiety; Article; body weight gain; child parent relation; coronavirus disease 2019; female; human; major clinical study; maternal fetal bonding; physiological stress; pregnancy; psychological well-being; risk assessment; social media; anxiety; coronavirus disease 2019; mental health; mental stress; mother fetus relationship; object relation; pregnancy; pregnant woman; psychological well-being; psychology; questionnaire; Severe acute respiratory syndrome coronavirus 2",,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85161724019
